2021-12-02	756440	08,55,11,22,59,14,01,06,65,36,18,51,38,10,40,26,37,02,47,56,64,46,70,73,05,35,23,66,44,03,43,75,63,71,62,16,12,41,52,54,67,72,15,27,68,31,19,58,60
2021-12-02	756439	23,63,47,16,64,60,69,32,43,05,04,68,57,30,50,08,49,24,70,06,45,59,29,12,55,27,52,46,58,75,72,25,53,42,21,67,18,41,37,62,20,33,54,07,01,73,09,13,14
2021-12-02	756438	66,11,55,20,26,53,32,44,61,24,29,43,63,22,41,59,13,35,69,18,58,57,75,42,38,19,01,16,67,05,62,25,54,56,28,51,37,10,45,07,64,17,70,60,14,31,34,39,08
2021-12-02	756437	43,02,38,64,20,34,59,45,09,24,10,15,17,74,06,03,57,50,23,30,67,51,39,37,29,07,41,40,72,28,14,16,31,33,53,04,58,60,01,21,71,35,56,44,11,26,62,61,75
2021-12-02	756436	73,32,02,58,75,22,35,44,63,29,40,30,74,61,60,24,41,46,08,66,05,49,69,55,42,54,50,10,59,51,57,09,06,04,13,37,53,31,45,70,03,43,34,17,68,52,23,65,33
2021-12-02	756435	32,53,17,42,66,38,07,59,57,71,75,25,31,29,40,48,13,39,62,56,10,03,63,04,61,20,22,21,24,73,69,50,11,09,36,34,06,67,14,72,18,64,58,43,01,52,23,54,30
2021-12-02	756434	41,16,51,25,67,06,69,63,23,17,05,07,34,10,72,19,48,75,21,01,32,74,50,28,27,59,70,29,61,18,65,49,58,54,44,13,26,36,40,11,02,71,03,47,31,22,64,45,04
2021-12-02	756433	01,56,24,48,59,14,75,09,38,68,73,29,17,61,40,04,57,31,42,70,19,32,28,58,26,66,03,07,54,45,08,34,30,69,44,62,47,36,55,12,41,20,53,25,35,15,02,33,51
2021-12-02	756432	68,48,58,28,36,27,09,31,33,20,62,37,10,02,26,65,01,70,52,06,29,54,21,16,45,43,23,61,53,69,12,04,73,07,55,25,15,35,59,72,74,05,66,32,64,11,34,13,40
2021-12-02	756431	57,39,23,26,72,25,06,20,68,34,22,32,01,48,59,38,14,49,19,29,09,07,46,61,02,70,47,55,33,35,15,58,40,08,45,13,71,18,42,67,56,63,21,31,11,41,04,03,43
2021-12-02	756430	27,41,15,65,64,24,10,23,62,38,56,66,19,72,75,37,54,68,70,04,59,47,17,31,43,07,42,50,46,57,49,11,28,51,33,61,16,60,25,55,06,48,34,44,29,40,36,09,52
2021-12-02	756429	61,08,18,63,25,50,68,58,62,21,14,10,28,12,11,17,56,23,54,42,65,29,35,66,15,73,75,32,04,26,74,55,57,39,72,59,52,16,31,20,48,43,69,44,07,64,70,22,45
2021-12-02	756428	16,47,32,71,64,60,34,69,36,54,74,50,21,01,29,10,03,33,58,02,75,38,43,67,62,13,05,27,70,04,45,44,11,41,72,39,26,46,15,61,31,49,73,08,06,17,53,40,48
2021-12-02	756427	74,34,45,42,16,71,22,07,47,18,55,49,03,37,15,54,09,43,59,70,21,10,39,38,58,11,46,29,24,33,48,67,75,25,36,51,06,14,73,28,41,26,20,66,72,04,64,52,23
